source,target,interaction,evidence,confidence,source_name_unicode,source_name_ascii,target_name_unicode,target_name_ascii
Q384558,Q471629,teacher_of,infobox:students | infobox:teacher,medium,Masatoshi Nakayama,Masatoshi Nakayama,Hirokazu Kanazawa,Hirokazu Kanazawa
Q453505,Q386415,teacher_of,infobox:teacher | wikidata:P1066 | wikidata:P802,high,Kenwa Mabuni,Kenwa Mabuni,Hironori Ōtsuka,Hironori Otsuka
Q30928815,Q386415,teacher_of,wikidata:P1066,high,Tatsusaburo Nakayama,Tatsusaburo Nakayama,Hironori Ōtsuka,Hironori Otsuka
Q386415,Q97666381,teacher_of,wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Tatsuo Suzuki,Tatsuo Suzuki
Q386415,Q957513,teacher_of,wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Teruo Kono,Teruo Kono
Q386415,Q4023282,teacher_of,wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Yutaka Toyama,Yutaka Toyama
Q386415,Q18414412,teacher_of,wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Kazuo Sakura,Kazuo Sakura
Q386415,Q18413638,teacher_of,wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Atsuo Yamashita,Atsuo Yamashita
Q386415,Q16648173,teacher_of,wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Kazuo Sakai,Kazuo Sakai
Q386415,Q16266721,teacher_of,wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Shingo Ohgami,Shingo Ohgami
Q386415,Q23688927,teacher_of,infobox:students | wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Masaru Shintani,Masaru Shintani
Q386415,Q21503589,teacher_of,infobox:teacher | wikidata:P1066 | wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Tōru Arakawa,Toru Arakawa
Q386415,Q3136331,teacher_of,wikidata:P802,high,Hironori Ōtsuka,Hironori Otsuka,Hironori Ōtsuka II,Hironori Otsuka II
Q386415,Q136799394,teacher_of,text_context:student_keyword,low,Hironori Ōtsuka,Hironori Otsuka,Robert Heisner,Robert Heisner
Q386415,Q128133,teacher_of,text_context:student_keyword,low,Hironori Ōtsuka,Hironori Otsuka,Niagara Falls,Niagara Falls
Q384558,Q348074,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Masatoshi Nakayama,Masatoshi Nakayama,Hiroshi Shirai,Hiroshi Shirai
Q348074,Q3840266,teacher_of,infobox:students | wikidata:P802,high,Hiroshi Shirai,Hiroshi Shirai,Luigi Zoia,Luigi Zoia
Q348074,Q110022261,teacher_of,wikidata:P802,high,Hiroshi Shirai,Hiroshi Shirai,Paolo Biotti Natoli,Paolo Biotti Natoli
Q1360025,Q348074,teacher_of,infobox:students | infobox:teacher,medium,Taiji Kase,Taiji Kase,Hiroshi Shirai,Hiroshi Shirai
Q348074,Q72716,teacher_of,infobox:students,medium,Hiroshi Shirai,Hiroshi Shirai,Pino Presti,Pino Presti
Q6956791,Q3139173,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Nabe Matsumura,Nabe Matsumura,Hohan Sōken,Hohan Soken
Q3139173,Q7373534,teacher_of,infobox:students | wikidata:P802,high,Hohan Sōken,Hohan Soken,Roy Y. Suenaka,Roy Y Suenaka
Q3139173,Q276730,teacher_of,infobox:students | wikidata:P802,high,Hohan Sōken,Hohan Soken,Nishihira Kosei,Nishihira Kosei
Q3139173,Q5104212,teacher_of,infobox:students | wikidata:P802,high,Hohan Sōken,Hohan Soken,Chokei Kishaba,Chokei Kishaba
Q294548,Q5610965,teacher_of,infobox:teacher | wikidata:P1066 | wikidata:P802,high,Mas Oyama,Mas Oyama,Howard Collins,Howard Collins
Q294548,Q562887,teacher_of,wikidata:P1066 | wikidata:P802,high,Mas Oyama,Mas Oyama,Jōkō Ninomiya,Joko Ninomiya
Q294548,Q560761,teacher_of,wikidata:P1066,high,Mas Oyama,Mas Oyama,Jon Bluming,Jon Bluming
Q560761,Q3357770,teacher_of,infobox:students,medium,Jon Bluming,Jon Bluming,Otti Roethof,Otti Roethof
Q560761,Q200333,teacher_of,text_pattern:taught,medium,Jon Bluming,Jon Bluming,hapkido,hapkido
Q4992635,Q560761,teacher_of,text_context:teacher_keyword,low,Toshirō Daigo,Toshiro Daigo,Jon Bluming,Jon Bluming
Q4992628,Q560761,teacher_of,text_context:teacher_keyword,low,Yoshimi Ōsawa,Yoshimi Osawa,Jon Bluming,Jon Bluming
Q2473562,Q1728269,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Kanbun Uechi,Kanbun Uechi,Kanei Uechi,Kanei Uechi
Q1728269,Q328615,teacher_of,text_context:student_keyword,low,Kanei Uechi,Kanei Uechi,Okinawa,Okinawa
Q921673,Q715769,teacher_of,infobox:students | infobox:teacher | wikidata:P802,high,Kanga Sakukawa,Kanga Sakukawa,Matsumura Sōkon,Matsumura Sokon
Q1929108,Q921673,teacher_of,infobox:teacher,medium,Kūsankū,Kusanku,Kanga Sakukawa,Kanga Sakukawa
Q3772405,Q2149940,teacher_of,wikidata:P802,high,Kanken Tōyama,Kanken Toyama,Richard Kim,Richard Kim
Q766445,Q3772405,teacher_of,text_context:teacher_keyword,low,Okinawa Prefecture,Okinawa Prefecture,Kanken Tōyama,Kanken Toyama
Q17,Q3772405,teacher_of,text_context:teacher_keyword,low,Japan,Japan,Kanken Tōyama,Kanken Toyama
Q22124384,Q190141,teacher_of,wikidata:P1066,high,Fukuda Hachinosuke,Fukuda Hachinosuke,Kanō Jigorō,Kano Jigoro
Q190141,Q2672426,teacher_of,infobox:students | wikidata:P802,high,Kanō Jigorō,Kano Jigoro,Tomita Tsunejirō,Tomita Tsunejiro
Q190141,Q460890,teacher_of,infobox:students | wikidata:P802,high,Kanō Jigorō,Kano Jigoro,Keiko Fukuda,Keiko Fukuda
