inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
yes,0,Q11470681,Tatsuo Yamada,山田辰雄,1905,1967,,te,84,1,1,31,4,2,16,
,83,Q294548,Mas Oyama,大山倍達 / 최영의,1923,1994,,kyokushin,83,46,21,30,3,6,16,
,83,Q384558,Masatoshi Nakayama,中山正敏,1913,1987,,japanese,83,47,13,22,3,4,16,
yes,0,C00485,Seiro Tonaki,,,,,other,78,1,1,27,6,1,2,
yes,0,Q7446703,Seiichi Iju,伊集盛一,,,,japanese,78,1,1,27,6,1,8,
,77,Q3482635,Shugoro Nakazato,仲里周五郎,1920,2016,,shuri-te,77,35,9,27,5,4,17,Hanshi 10th dan — Okinawa Karate News register (2018)
,71,Q1728269,Kanei Uechi,上地完英,1911,1991,,uechi-ryu,71,59,23,17,2,1,9,Hanshi 10th dan — Okinawa Karate News register (2018)
,64,A0233,Sokaku Takeda,武田惣角,1859,1943,,other,64,2,2,36,6,0,0,
yes,0,C00252,Kitoku Sakiyama,崎山喜徳,1830,1914,,other,53,1,1,18,5,2,6,
,53,C00478,Seikichi Uehara,上原清吉,1904,2004,,shuri-te,53,22,7,21,4,1,7,Hanshi 10th dan — Okinawa Karate News register (2018)
,52,C00510,Shinkichi Kuniyoshi,国吉真吉,1848,1926,,te,52,2,1,18,4,1,1,
,52,Q182130,Morihei Ueshiba,植芝盛平,1883,1969,,te,52,7,3,32,5,1,1,
,52,Q189805,Zenryo Shimabukuro,島袋善良,1909,1969,,shuri-te,52,14,7,17,3,1,9,Hanshi 10th dan — Okinawa Karate News register (2018)
,50,C00087,Gushikawa no Tiragwa,,,,,other,50,2,2,22,5,0,0,
,50,Q1738762,Kenji Kurosaki,黒崎健時,1930,,,naha-te,50,15,6,22,4,2,11,
yes,0,C00221,Keikichi Nakamura,,,1904,,other,47,1,1,16,4,0,0,
yes,0,C00355,Teiichi Nakamura,,,,,other,47,1,1,16,4,0,0,
,46,C00003,Anbun Tokuda,徳田安文,1886,1945,,other,46,4,3,19,5,2,8,
,46,Q38585428,Shigeru Nakamura,中村茂,1894,1969,,japanese,46,20,5,15,3,8,18,Hanshi 10th dan — Okinawa Karate News register (2018)
,45,J0109,Shintoku Matayoshi,又吉眞得,1786,,,other,45,2,2,22,5,0,0,
yes,0,C00156,Moshigwa Ire,,,,,other,44,1,1,22,5,0,0,
yes,0,J0108,Shinchin Matayoshi,又吉眞珍,1844,,,other,44,1,1,22,5,1,0,
yes,0,KP002,Kingai,金硬,,,,other,44,1,1,22,5,0,0,
yes,0,KP003,Chokuho Agena,安慶名朝比呼,,,,other,44,1,1,22,5,0,0,
yes,0,KP009,Irei Okina,伊礼翁,,,,other,44,1,1,22,5,0,0,
yes,0,KP010,Ryuko Shiishi,添石良行,1852,1925,,other,44,1,1,22,5,0,0,
yes,0,N0028,Ying Jin,金硬流 (Kingai-ryu),,,,other,44,1,1,22,5,1,9,
yes,0,N0140,Chokuho Agena,,,,,other,44,1,1,22,5,0,0,
yes,0,N0170,Shin'ushi Irei,,,,,other,44,1,1,22,5,0,0,
yes,0,N0223,Jiao Gui Wu,,,,,other,44,1,1,22,5,0,0,
,43,Q1908088,Shinko Matayoshi,又吉眞光,1888,1947,,kobudo,43,4,2,21,4,17,4,
yes,0,C00525,Shoko Itokazu,,,,,other,41,1,1,21,4,0,0,
