node_id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,connected,generation,legendary,added_by_research,wikipedia_url
A0089,Chuzo Kotaka,,,1941,,,,shito-ryu|shukokai,shito-ryu,yes,15,,yes,
A0090,Kenyu Mabuni,摩文仁賢雄,,1951,,,,shito-ryu|dento-shito-ryu,shito-ryu,yes,14,,yes,
A0091,Tsukasa Mabuni,摩文仁司,,,,,,shito-ryu,shito-ryu,yes,11,,yes,
A0092,Genzo Iwata,岩田源三,,1958,,,,shito-ryu|shito-kai,shito-ryu,yes,11,,yes,
A0093,William H. Price,,,,,,,motobu-ha-shito-ryu|shito-ryu|kuniba-ha,motobu-ha-shito-ryu,yes,15,,yes,
A0094,Kozo Kuniba,国場浩三,Kuniba Kozo,,,,,motobu-ha-shito-ryu|shito-ryu|kuniba-ha,motobu-ha-shito-ryu,yes,15,,yes,
A0095,Kazutaka Otsuka (Hironori Otsuka III),大塚博紀（三代）,Otsuka Hironori III,1965,,,,wado-ryu|wado-ryu-karate-do-renmei,wado-ryu,yes,14,,yes,
A0096,Hideho Takagi,,,1942,2018,,,wado-ryu|wado-kai,wado-ryu,yes,13,,yes,
A0097,Yoshiaki Ajari,,,1933,2022,,,wado-ryu|goju-ryu,wado-ryu,yes,13,,yes,
A0098,Masafumi Shiomitsu,,,1940,,,,wado-ryu|shorin-ryu,wado-ryu,yes,14,,yes,https://fr.wikipedia.org/wiki/Masafumi_Shiomitsu
A0099,Jon Wicks,,,,,,,wado-ryu|wado-kokusai,wado-ryu,yes,14,,yes,
A0100,Denis Labbé,,,,,,,wado-ryu,wado-ryu,yes,14,,yes,
A0101,Ron Mattie,,,,,,,wado-ryu,wado-ryu,yes,14,,yes,
A0102,Hajimu Takashima,,,,,,,wado-ryu,wado-ryu,yes,13,,yes,
A0103,Akira Kitagawa,,,,,,,shorin-ryu,shorin-ryu,yes,0,,yes,
A0104,Roy J. Hobbs,,,,,,,seidokan|shorin-ryu|shobayashi-shorin-ryu,seidokan,yes,15,,yes,
A0105,Ron Nix,,,1958,,,,seidokan|shorin-ryu|okinawan-kobudo,seidokan,yes,15,,yes,
A0106,Stephen Chan,,,1949,,,,seidokan|shorin-ryu,seidokan,yes,16,,yes,https://en.wikipedia.org/wiki/Stephen_Chan_(academic)
A0107,Shigemitsu Tamae,,,1950,,,,seidokan|okinawan-kobudo,seidokan,yes,15,,yes,
A0108,John E. Kennedy,,,,,,,seidokan,seidokan,yes,15,,yes,
A0109,Allen Tackett,,,,,,,seidokan,seidokan,yes,15,,yes,
A0110,Glenn Capistrant,,,,,,,seidokan,seidokan,yes,15,,yes,
A0111,C. Michial Jones,,,,,,,seidokan,seidokan,yes,16,,yes,
A0112,Larry Isaac,,,,,,,okinawa-kenpo|okinawan-kobudo,okinawa-kenpo,yes,15,,yes,
A0113,Seifuku Nitta,,,1942,2012,,,okinawa-kenpo|shorin-ryu,okinawa-kenpo,yes,14,,yes,
A0114,Ulf Karlsson,,,,,,,kishimoto-di|shuri-te|taido,kishimoto-di,yes,15,,yes,
A0115,Noah Legel,,,,,,,kishimoto-di|shorin-ryu,kishimoto-di,yes,16,,yes,
A0116,Kijun Kishimoto,岸本喜順,,,,,,te|karate-generic,te,yes,0,,yes,
A0117,Hiroshi Akamine,赤嶺浩,,1954,,,,ryukyu-kobudo|shorin-ryu|ryukyu-kobudo-akamine,ryukyu-kobudo,yes,13,,yes,
A0118,Hidemi Tamayose,玉寄英美,,1949,,,,ryukyu-kobudo|ryukyu-kobudo-tesshinkan,ryukyu-kobudo,yes,14,,yes,
A0119,Yukio Kuniyoshi,國吉幸雄,,,,,,ryukyu-kobudo|ryukyu-kobudo-akamine,ryukyu-kobudo,yes,13,,yes,
A0120,Kisho Inoue,井上貴勝,,1954,,,,ryukyu-kobudo|ryukyu-kobujutsu-hozon-shinko-kai,ryukyu-kobudo,yes,14,,yes,
A0121,Seisho Itokazu,糸数盛昌,,1945,,,,matayoshi-kobudo|kingai-ryu,matayoshi-kobudo,yes,13,,yes,
A0122,Zenei Oshiro,大城善栄,,1953,,,,matayoshi-kobudo|goju-ryu,matayoshi-kobudo,yes,13,,yes,
A0123,Tetsuhiro Hokama,外間哲弘,,1944,,,,goju-ryu|matayoshi-kobudo,goju-ryu,yes,13,,yes,
A0124,Yasushi Matayoshi,又吉靖,,1965,,,,matayoshi-kobudo|matayoshi-kodokan,matayoshi-kobudo,yes,13,,yes,
A0125,Umikana Chinen,知念,Chinen Umikana,1797,1881,,,yamanni-ryu|okinawan-kobudo,yamanni-ryu,yes,4,,yes,
A0126,Kiyoshi Nishime,,,,,,,yamanni-ryu|shorin-ryu|okinawan-kobudo,yamanni-ryu,yes,14,,yes,
A0127,Kaishu Isa,,,,,,,ufuchiku-kobujutsu|shorin-ryu,ufuchiku-kobujutsu,yes,12,,yes,
A0128,Kiichi Nakamoto,仲本喜一,,,,,,goju-ryu|ufuchiku-kobujutsu,goju-ryu,yes,14,,yes,
A0129,Kantoku Izumikawa,,,,,,,okinawan-kobudo|ufuchiku-kobujutsu,okinawan-kobudo,yes,2,,yes,
A0130,Mamoru Nakamoto,仲本守,,,,,,okinawan-kobudo|shorin-ryu|bunbukan,okinawan-kobudo,yes,14,,yes,
A0131,Eiko Kaneshi,,,1914,,,,isshin-ryu,isshin-ryu,yes,13,,yes,
A0132,Seiko Fukuchi,福地清幸,,1919,1975,,,goju-ryu|shodokan-goju-ryu,goju-ryu,yes,10,,yes,
A0133,Eiki Kurashita,,,,,,,goju-ryu,goju-ryu,yes,10,,yes,
A0134,Meitetsu Yagi,八木明哲,,1949,2024,,,goju-ryu|meibukan,goju-ryu,yes,10,,yes,
A0135,Akihiro Yagi,八木明広,,,,,,goju-ryu|meibukan|imgka,goju-ryu,yes,11,,yes,
A0136,Gosen Yamaguchi,,,1940,1990,,,goju-kai|goju-ryu,goju-kai,yes,10,,yes,
A0137,Ingo de Jong,,,,,,,goju-kai|goju-ryu,goju-kai,yes,12,,yes,
A0138,Masanobu Shinjo,,,1938,1993,,,goju-ryu,goju-ryu,yes,11,,yes,
A0139,Masashi Shinjo,,,,,,,goju-ryu,goju-ryu,yes,12,,yes,
A0140,Takashi Shinjo,,,,,,,goju-ryu,goju-ryu,yes,12,,yes,
A0141,Yoshihiro Miyazato,宮里善博,,,,,,goju-ryu|jundokan,goju-ryu,yes,10,,yes,
A0142,Tetsu Gima,儀間哲,,,,,,goju-ryu|jundokan,goju-ryu,yes,10,,yes,
A0143,Tsuneo Kinjo,金城常雄,,,,,,goju-ryu|jundokan,goju-ryu,yes,10,,yes,
A0144,Kazuya Higa,,,,,,,goju-ryu|jundokan,goju-ryu,yes,10,,yes,
A0145,Katsuya Izumikawa,泉川勝也,,,,,,goju-ryu|senbukan,goju-ryu,yes,12,,yes,
A0146,Glaube Feitosa,,,1973,,,,kyokushin,kyokushin,yes,17,,yes,https://en.wikipedia.org/wiki/Glaube_Feitosa
A0147,Ewerton Teixeira,,,1982,,,,kyokushin,kyokushin,yes,17,,yes,https://en.wikipedia.org/wiki/Ewerton_Teixeira
